fips,stateabbr,statedesc,locationname,measure,data_value_type,asthma_prevalence_pct,state,county,pm25_mean,monitor_count,total_observations
06095,CA,California,Solano,Current asthma among adults,Age-adjusted prevalence,10.1,California,Solano,6.1916982054431715,1.0,21899.0
10003,DE,Delaware,New Castle,Current asthma among adults,Age-adjusted prevalence,10.4,Delaware,New Castle,9.678962201380294,5.0,143013.0
06079,CA,California,San Luis Obispo,Current asthma among adults,Age-adjusted prevalence,10.0,California,San Luis Obispo,4.887539057347198,4.0,45582.0
13089,GA,Georgia,DeKalb,Current asthma among adults,Age-adjusted prevalence,10.3,Georgia,DeKalb,10.232957259753677,1.0,36781.0
12115,FL,Florida,Sarasota,Current asthma among adults,Age-adjusted prevalence,9.5,Florida,Sarasota,7.4093274125355615,1.0,33042.0
08045,CO,Colorado,Garfield,Current asthma among adults,Age-adjusted prevalence,10.7,Colorado,Garfield,4.15114205329741,1.0,17074.0
06093,CA,California,Siskiyou,Current asthma among adults,Age-adjusted prevalence,11.2,California,Siskiyou,10.971938757254067,1.0,11304.0
13135,GA,Georgia,Gwinnett,Current asthma among adults,Age-adjusted prevalence,9.1,Georgia,Gwinnett,10.17136543375746,1.0,33166.0
08099,CO,Colorado,Prowers,Current asthma among adults,Age-adjusted prevalence,11.2,Colorado,Prowers,5.074188544100802,1.0,2619.0
06089,CA,California,Shasta,Current asthma among adults,Age-adjusted prevalence,10.9,California,Shasta,6.898796824416518,1.0,11140.0
08013,CO,Colorado,Boulder,Current asthma among adults,Age-adjusted prevalence,10.3,Colorado,Boulder,6.598960988705092,3.0,38690.0
13051,GA,Georgia,Chatham,Current asthma among adults,Age-adjusted prevalence,10.3,Georgia,Chatham,9.239234902857312,1.0,33878.0
08057,CO,Colorado,Jackson,Current asthma among adults,Age-adjusted prevalence,11.7,Colorado,Jackson,3.5902441749314726,1.0,16052.0
08003,CO,Colorado,Alamosa,Current asthma among adults,Age-adjusted prevalence,11.0,Colorado,Alamosa,8.292584,1.0,2144.0
08031,CO,Colorado,Denver,Current asthma among adults,Age-adjusted prevalence,10.2,Colorado,Denver,7.092838165656309,5.0,102109.0
08035,CO,Colorado,Douglas,Current asthma among adults,Age-adjusted prevalence,10.4,Colorado,Douglas,5.296248137122747,1.0,33532.0
08069,CO,Colorado,Larimer,Current asthma among adults,Age-adjusted prevalence,11.2,Colorado,Larimer,6.439543673389465,1.0,10214.0
12009,FL,Florida,Brevard,Current asthma among adults,Age-adjusted prevalence,9.7,Florida,Brevard,6.953741780268376,1.0,32790.0
12073,FL,Florida,Leon,Current asthma among adults,Age-adjusted prevalence,10.4,Florida,Leon,8.556069533666614,1.0,6401.0
06097,CA,California,Sonoma,Current asthma among adults,Age-adjusted prevalence,9.8,California,Sonoma,5.0581074088397795,1.0,11403.0
13095,GA,Georgia,Dougherty,Current asthma among adults,Age-adjusted prevalence,12.0,Georgia,Dougherty,11.221914422939069,1.0,35712.0
08103,CO,Colorado,Rio Blanco,Current asthma among adults,Age-adjusted prevalence,11.3,Colorado,Rio Blanco,4.7308110783744555,1.0,9646.0
06075,CA,California,San Francisco,Current asthma among adults,Age-adjusted prevalence,8.5,California,San Francisco,6.457199946069995,1.0,10458.0
13153,GA,Georgia,Houston,Current asthma among adults,Age-adjusted prevalence,10.1,Georgia,Houston,9.784395110802597,1.0,34214.0
06083,CA,California,Santa Barbara,Current asthma among adults,Age-adjusted prevalence,9.7,California,Santa Barbara,5.5601422056982095,5.0,47278.0
12086,FL,Florida,Miami-Dade,Current asthma among adults,Age-adjusted prevalence,8.6,Florida,Miami-Dade,7.9273289030105,4.0,35808.0
08077,CO,Colorado,Mesa,Current asthma among adults,Age-adjusted prevalence,11.5,Colorado,Mesa,4.484554556607835,1.0,11615.0
12095,FL,Florida,Orange,Current asthma among adults,Age-adjusted prevalence,9.1,Florida,Orange,7.4377355826466,1.0,31429.0
13063,GA,Georgia,Clayton,Current asthma among adults,Age-adjusted prevalence,11.3,Georgia,Clayton,9.747934,1.0,968.0
12011,FL,Florida,Broward,Current asthma among adults,Age-adjusted prevalence,9.2,Florida,Broward,8.01522308191675,5.0,161774.0
12057,FL,Florida,Hillsborough,Current asthma among adults,Age-adjusted prevalence,9.4,Florida,Hillsborough,8.045509062436352,2.0,44189.0
11001,DC,District of Columbia,District of Columbia,Current asthma among adults,Age-adjusted prevalence,10.2,District Of Columbia,District of Columbia,8.778491500778829,4.0,138670.0
06081,CA,California,San Mateo,Current asthma among adults,Age-adjusted prevalence,8.5,California,San Mateo,4.489847618274111,1.0,1970.0
06085,CA,California,Santa Clara,Current asthma among adults,Age-adjusted prevalence,7.9,California,Santa Clara,6.733190420073474,3.0,34025.0
12001,FL,Florida,Alachua,Current asthma among adults,Age-adjusted prevalence,10.1,Florida,Alachua,7.167677892942084,1.0,63489.0
