fips,state,county,pm25_mean,monitor_count,total_observations
22121,Louisiana,West Baton Rouge,9.967327324726938,1.0,37995.0
23001,Maine,Androscoggin,5.364838267485221,1.0,10995.0
23003,Maine,Aroostook,6.494409082392621,3.0,58112.0
23005,Maine,Cumberland,8.3877749226214,2.0,30396.0
23009,Maine,Hancock,4.4230604512575855,1.0,33954.0
23011,Maine,Kennebec,7.841124828439459,1.0,6062.0
23017,Maine,Oxford,5.6110904937249675,1.0,11235.0
23019,Maine,Penobscot,5.3241574177113895,1.0,11247.0
23029,Maine,Washington,4.1284838153078205,1.0,9616.0
24005,Maryland,Baltimore,7.70318250789335,2.0,36043.0
24015,Maryland,Cecil,6.840914280984366,1.0,33646.0
24019,Maryland,Dorchester,7.236055345940658,1.0,33737.0
24023,Maryland,Garrett,5.840513454589372,1.0,33120.0
24025,Maryland,Harford,7.290693693987775,1.0,33698.0
24027,Maryland,Howard,8.15320564184345,1.0,33893.0
24029,Maryland,Kent,6.07153068912177,1.0,33875.0
24031,Maryland,Montgomery,6.392883393097293,1.0,33610.0
24033,Maryland,Prince George's,7.578819986294429,1.0,35533.0
24043,Maryland,Washington,6.943195207507948,1.0,32712.0
24510,Maryland,Baltimore (City),8.002729769992845,1.0,36338.0
25003,Massachusetts,Berkshire,7.605849350159556,2.0,67375.0
25005,Massachusetts,Bristol,6.967176975847586,1.0,33330.0
25009,Massachusetts,Essex,7.101607087116564,2.0,66830.0
25011,Massachusetts,Franklin,8.21021865842326,1.0,33360.0
25013,Massachusetts,Hampden,7.409696668410389,2.0,44923.0
25015,Massachusetts,Hampshire,6.180519893466563,1.0,32525.0
25017,Massachusetts,Middlesex,6.762730684504002,1.0,33357.0
25021,Massachusetts,Norfolk,6.743620430920659,1.0,33324.0
25023,Massachusetts,Plymouth,7.0733732518610415,1.0,33046.0
25025,Massachusetts,Suffolk,7.446054766160535,5.0,190464.0
25027,Massachusetts,Worcester,7.39975785379444,1.0,33022.0
26005,Michigan,Allegan,7.365307641838152,1.0,7921.0
26017,Michigan,Bay,9.503434953909888,1.0,11586.0
26049,Michigan,Genesee,8.684892510019125,1.0,12027.0
26065,Michigan,Ingham,11.162088435211055,1.0,25776.0
26077,Michigan,Kalamazoo,12.481228887583894,1.0,29204.0
26081,Michigan,Kent,11.387468095261733,1.0,40289.0
26091,Michigan,Lenawee,9.97829534524743,1.0,29321.0
26099,Michigan,Macomb,10.61563538276284,1.0,32720.0
26101,Michigan,Manistee,5.5633367904979965,1.0,3494.0
26113,Michigan,Missaukee,10.364947983471074,1.0,11132.0
26125,Michigan,Oakland,9.3,1.0,744.0
26139,Michigan,Ottawa,10.65419037607679,1.0,32504.0
26147,Michigan,St. Clair,10.44364578202758,1.0,32995.0
26153,Michigan,Schoolcraft,5.301592295247014,1.0,8542.0
26161,Michigan,Washtenaw,11.017746870146365,1.0,66136.0
26163,Michigan,Wayne,12.620489097586058,10.0,233394.0
27003,Minnesota,Anoka,8.597030275859241,1.0,12191.0
27005,Minnesota,Becker,8.893997654325526,1.0,32655.0
27007,Minnesota,Beltrami,7.845178977692837,1.0,33487.0
27017,Minnesota,Carlton,6.104595206294229,1.0,33491.0
27021,Minnesota,Cass,7.67582767197509,1.0,33720.0
27031,Minnesota,Cook,4.106150682223828,1.0,33168.0
27035,Minnesota,Crow Wing,8.469024938008786,1.0,29359.0
27037,Minnesota,Dakota,10.39608398500774,2.0,98184.0
27053,Minnesota,Hennepin,10.728844768184953,3.0,60902.0
27075,Minnesota,Lake,6.264850551694604,1.0,32692.0
27083,Minnesota,Lyon,10.152936964252701,1.0,32450.0
27109,Minnesota,Olmsted,10.180649387507767,1.0,32180.0
27123,Minnesota,Ramsey,10.590397636673796,2.0,34586.0
27137,Minnesota,Saint Louis,7.980981388009924,3.0,97147.0
27139,Minnesota,Scott,10.985596797012276,1.0,32667.0
27145,Minnesota,Stearns,10.007559818643344,1.0,32698.0
27171,Minnesota,Wright,9.860129105091325,1.0,30935.0
28011,Mississippi,Bolivar,10.679843238859293,1.0,31349.0
28033,Mississippi,DeSoto,11.471094985045308,1.0,31562.0
28035,Mississippi,Forrest,10.73138649906001,1.0,32447.0
28045,Mississippi,Hancock,9.098847596558072,1.0,31494.0
28047,Mississippi,Harrison,9.309125716861585,1.0,31723.0
28049,Mississippi,Hinds,10.375687644115626,2.0,62717.0
28059,Mississippi,Jackson,9.480716672524307,1.0,31981.0
29021,Missouri,Buchanan,8.967151365396884,1.0,21946.0
29037,Missouri,Cass,6.3169786140369855,1.0,9247.0
29039,Missouri,Cedar,6.749212989965939,1.0,10863.0
29047,Missouri,Clay,6.392077083086053,1.0,10110.0
29077,Missouri,Greene,8.88949697041333,1.0,40694.0
29095,Missouri,Jackson,9.723518311374647,2.0,46041.0
29099,Missouri,Jefferson,7.864152900265321,1.0,31283.0
29189,Missouri,Saint Louis,7.6551885562520425,1.0,33661.0
29510,Missouri,St. Louis City,9.802752957230194,4.0,242905.0
30001,Montana,Beaverhead,2.9605310459107965,1.0,11457.0
30017,Montana,Custer,8.171690180626241,1.0,11593.0
30027,Montana,Fergus,5.280587474358973,1.0,11544.0
30029,Montana,Flathead,9.522974829676974,1.0,11578.0
30031,Montana,Gallatin,3.005895363730391,1.0,11602.0
30035,Montana,Glacier,4.326585926683116,1.0,11348.0
30041,Montana,Hill,7.943197444704506,1.0,6836.0
30049,Montana,Lewis and Clark,6.791278303824691,2.0,34408.0
30053,Montana,Lincoln,11.759973793043066,1.0,33693.0
30063,Montana,Missoula,8.487736173366498,2.0,45026.0
30071,Montana,Phillips,7.48681997652339,1.0,11586.0
30075,Montana,Powder River,9.471005387898028,1.0,10709.0
30081,Montana,Ravalli,5.8224400792609226,1.0,11582.0
30083,Montana,Richland,7.633228989278057,1.0,11192.0
30093,Montana,Silver Bow,7.457672028112449,1.0,11952.0
30111,Montana,Yellowstone,6.718697077918671,1.0,11435.0
31055,Nebraska,Douglas,8.007786552296583,2.0,13433.0
31067,Nebraska,Gage,7.14829132562554,1.0,11590.0
31079,Nebraska,Hall,7.498460695183777,1.0,11046.0
31109,Nebraska,Lancaster,8.328571666666667,1.0,1344.0
31153,Nebraska,Sarpy,7.946718697319821,1.0,10559.0
31157,Nebraska,Scotts Bluff,5.40494987426344,1.0,11031.0
31177,Nebraska,Washington,7.639338751196172,1.0,11495.0
32003,Nevada,Clark,5.160847003121119,14.0,503986.0
32005,Nevada,Douglas,6.095124135194069,1.0,11465.0
32031,Nevada,Washoe,5.324009345339841,4.0,46919.0
32510,Nevada,Carson City,4.896194334117449,1.0,11903.0
33001,New Hampshire,Belknap,5.443440850828071,1.0,33572.0
33005,New Hampshire,Cheshire,7.764226540820808,1.0,34137.0
33009,New Hampshire,Grafton,5.7912397005079175,1.0,33470.0
33011,New Hampshire,Hillsborough,4.735727692571361,1.0,33842.0
33015,New Hampshire,Rockingham,6.102463863062341,2.0,64774.0
34001,New Jersey,Atlantic,7.745691755611269,2.0,42281.0
34003,New Jersey,Bergen,10.026658608988956,1.0,34687.0
34007,New Jersey,Camden,9.686748489206526,2.0,44425.0
34011,New Jersey,Cumberland,8.031786651444145,1.0,32649.0
34015,New Jersey,Gloucester,6.907168061375173,1.0,6501.0
34017,New Jersey,Hudson,8.135396180725406,2.0,76785.0
34019,New Jersey,Hunterdon,8.853734199221284,1.0,33902.0
34021,New Jersey,Mercer,9.61016233399754,2.0,66746.0
34023,New Jersey,Middlesex,9.121832845864658,1.0,35112.0
34027,New Jersey,Morris,6.696706299401198,1.0,2672.0
34029,New Jersey,Ocean,8.111209378759076,1.0,32089.0
34031,New Jersey,Passaic,8.344861816992449,1.0,32179.0
34039,New Jersey,Union,10.104840833040631,2.0,74593.0
34041,New Jersey,Warren,8.49767399140522,1.0,33276.0
